 6.42e+2         1.70238e-2      3.089e-2        2.209e-3        6.0600e-5       2.1316e-5
 6.41e+2         1.78168e-2      3.1935e-2       2.225e-3        3.36e-5         1.8832e-5
 6.40e+2         1.881255e-2     3.42575e-2      2.31825e-3     -1.5915e-4      -8.6700e+5
 6.39e+2         1.98563e-2      3.6494e-2       2.4625e-3      -2.499e-4       -9.1980e+6
 6.38e+2         2.078505e-2     3.84775e-2      2.44975e-3     -4.1865e-4      -2.6829e-5
 6.37e+2         2.17438e-2      4.0793e-2       2.358e-3       -4.34e-5         1.1556e-5
 6.36e+2         2.255255e-2     4.29025e-2      2.50025e-3     -3.9715e-4      -2.4987e-5
 6.35e+2         2.34503e-2      4.5068e-2       2.4985e-3      -1.029e-4        4.758e-7
 6.34e+2         2.476884e-2     4.72266e-2      2.7486e-3      -5.3652e-4      -3.786e-6
 6.33e+2         2.575009e-2     4.98071e-2      2.74435e-3     -3.4077e-4      -1.8605e-5
 6.32e+2         2.696009e-2     5.25741e-2      2.60935e-3     -1.8077e-4      -4.2049e+6
 6.31e+2         2.815209e-2     5.49571e-2      2.70635e-3     -6.2177e-4      -4.8193e-5
 6.30e+2         2.900909e-2     5.71401e-2      2.64135e-3     -4.3277e-4      -2.7165e-5
 6.29e+2         3.052288e-2     6.04592e-2      2.8302e-3      -7.6364e-4      -6.0892e-5
 6.28e+2         3.206638e-2     6.36092e-2      3.1047e-3      -8.8914e-4      -7.3442e-5
 6.27e+2         3.279738e-2     6.61552e-2      3.0617e-3      -7.8414e-4      -6.3054e-5
 6.26e+2         3.442213e-2     6.93537e-2      2.97295e-3     -5.4089e-4      -3.9477e-5
 6.25e+2         3.546913e-2     7.25637e-2      2.94595e-3     -7.9189e-4      -6.4037e-5
 6.24e+2         3.695271e-2     7.54769e-2      3.26865e-3     -8.7263e-4      -7.3279e-5
 6.23e+2         3.820442e-2     7.88838e-2      3.2473e-3      -8.5126e-4      -7.0294e-5
 6.22e+2         3.974046e-2     8.18274e-2      3.3629e-3      -9.4638e-4      -8.087e-6
